started_utc	ended_utc	label	exit_code	timing_basis	command
2026-08-18T18:03:23Z	2026-08-18T18:03:23Z	QLB-EXT-002:offline-verification	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign/run-offline-verification.mjs --lab-checkout /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-deps --record /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/run-output/trusted-local-observation-record.json --plan /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/run-output/observation-plan.json --registry-root /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/run-output/registry --adapter-entry /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject/dist/qualiber-erl2-validation-subject.mjs --retained-input-root /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/run-output/inputs --label QLB-EXT-002 --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/verification/verification-result.json
2026-08-18T18:03:23Z	2026-08-18T18:03:24Z	QLB-EXT-002:scan-retained	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign/oracle-absence-scan.mjs --label QLB-EXT-002/retained-inputs-and-envelopes --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/scans/scan-3-retained.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/oracle-precommit.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/execution-lock.json --expectation-path expectations/QLB-EXT-002.expected.json --expectation-path /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/expectations/QLB-EXT-002.expected.json /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/run-output/inputs /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/run-output/store/retained/local-observation-adapter/interact-validate-stimulus/response-envelope.json /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/run-output/store/retained/local-observation-adapter/report-residue-final/response-envelope.json
2026-08-18T18:03:24Z	2026-08-18T18:03:24Z	QLB-EXT-002:compare	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign/compare-scenario.mjs --scenario QLB-EXT-002 --scenario-root /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002 --expected /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/expectations/QLB-EXT-002.expected.json --oracle-precommit /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/oracle-precommit.json --execution-lock /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/execution-lock.json --campaign-index /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign-index.json --dependency-anchor /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject/package.json --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-002/comparison/comparison.json
2026-08-18T18:03:28Z	2026-08-18T18:03:29Z	QLB-EXT-003:scan-mounted-inputs	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign/oracle-absence-scan.mjs --label QLB-EXT-003/mounted-inputs --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/scans/scan-1-mounted-inputs.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/oracle-precommit.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/execution-lock.json --expectation-path expectations/QLB-EXT-003.expected.json --expectation-path /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/expectations/QLB-EXT-003.expected.json /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/input
2026-08-18T18:03:29Z	2026-08-18T18:03:29Z	QLB-EXT-003:plan-draft	0	measured	npm --prefix /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject run --silent plan:draft:validation -- --capture-stimulus /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/input/stimulus.json --contract-stimulus /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/input/contract.json --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/plan/plan-draft.generated.json
2026-08-18T18:03:29Z	2026-08-18T18:03:29Z	QLB-EXT-003:declare-and-seal	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-deps/packages/cli/dist/src/bin.js declare-trusted-local-adapter --adapter-entry /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject/dist/qualiber-erl2-validation-subject.mjs --manifest /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject/certification/validation-adapter-manifest.v2.json --acknowledge-trusted-local-code I ACCEPT THAT THESE EXACT ADAPTER BYTES EXECUTE WITH MY LOCAL USER PERMISSIONS, ARE NOT SANDBOXED AND ARE NOT INDEPENDENTLY CERTIFIED, AND THAT THE RESULTS ARE DEVELOPMENT-ONLY, UNSCORED AND UNAUTHENTICATED --acknowledged-by repository owner (karthik), qualiber-reality-lab prospective Wave 1 campaign 2026-08-18 --declaration-id qualiber-ext-qlb-ext-003 --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/declaration/trusted-local-declaration.json --source-repository qualiber --source-commit d3ebf37fc2cd5741c25eac22eaa20777153730ce --source-tree 0d2a8c4de0196972ef1ed8844b3746a4cfa5df3a --seal-plan-draft /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/plan/plan-draft.generated.json --plan-output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/plan/plan-sealed.json
2026-08-18T18:03:29Z	2026-08-18T18:03:29Z	QLB-EXT-003:scan-sealed-plan	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign/oracle-absence-scan.mjs --label QLB-EXT-003/sealed-plan --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/scans/scan-2-sealed-plan.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/oracle-precommit.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/execution-lock.json --expectation-path expectations/QLB-EXT-003.expected.json --expectation-path /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/expectations/QLB-EXT-003.expected.json /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/plan/plan-sealed.json
2026-08-18T18:03:29Z	2026-08-18T18:03:30Z	QLB-EXT-003:run-observation	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-deps/packages/cli/dist/src/bin.js run-trusted-local-observation --adapter-entry /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject/dist/qualiber-erl2-validation-subject.mjs --manifest /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject/certification/validation-adapter-manifest.v2.json --plan /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/plan/plan-sealed.json --owner-declaration /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/declaration/trusted-local-declaration.json --output-root /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/run-output --bind-input capture-stimulus-input=/private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/input/stimulus.json --bind-input contract-stimulus-input=/private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/input/contract.json
2026-08-18T18:03:30Z	2026-08-18T18:03:30Z	QLB-EXT-003:offline-verification	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign/run-offline-verification.mjs --lab-checkout /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-deps --record /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/run-output/trusted-local-observation-record.json --plan /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/run-output/observation-plan.json --registry-root /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/run-output/registry --adapter-entry /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject/dist/qualiber-erl2-validation-subject.mjs --retained-input-root /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/run-output/inputs --label QLB-EXT-003 --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/verification/verification-result.json
2026-08-18T18:03:30Z	2026-08-18T18:03:30Z	QLB-EXT-003:scan-retained	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign/oracle-absence-scan.mjs --label QLB-EXT-003/retained-inputs-and-envelopes --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/scans/scan-3-retained.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/oracle-precommit.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/execution-lock.json --expectation-path expectations/QLB-EXT-003.expected.json --expectation-path /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/expectations/QLB-EXT-003.expected.json /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/run-output/inputs /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/run-output/store/retained/local-observation-adapter/interact-validate-stimulus/response-envelope.json /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-003/run-output/store/retained/local-observation-adapter/report-residue-final/response-envelope.json
